DATE,01:J1,02:J2,03:J4,04:J5,05:J6,06:J6A,07:J7,08:J8,09:J9,10:J10,11:J11,12:J11A,13:J12,14:J13,15:J14,16:J15,17:J15A,18:J16,19:J17,20:J18,21:J19,22:J20,23:J21,24:J21A,25:J22,26:J23,27:J23A,28:J24,29:J24A,30:J25,31:J26,32:J27,33:J28,34:J29,35:J29A,36:J30,37:J31,38:J32,39:J33,40:J34,41:J35,42:J35A,43:J36,44:J37,45:J38,46:J39,47:J40,48:J41,49:J42,50:J43|44,51:J45,52:J46,53:J47,54:J48
2023-05-06 23:59:42.257360,58.50495,61.6567,70.0,69.96332,70.0,67.72946,64.88064,68.90823,70.0,67.02653,65.750946,57.67605,52.12279,65.57354,66.70386,63.159176,64.81178,69.14477,67.72946,68.78247,65.86535,70.0,66.51274,70.0,66.62808,70.0,70.0,70.0,70.0,64.48158,57.354904,64.72811,67.95269,67.72947,66.92735,66.081184,67.3481,66.148796,58.656532,64.866875,68.49623,68.9722,68.0522,69.93845,70.0,69.41587,70.0,67.640884,51.50506,68.88108,70.0,70.0,70.0,NA
2023-05-07 00:29:45.153852,58.983234,70.0,67.74718,66.85646,70.0,70.0,66.092834,65.98588,67.361595,63.688328,63.676613,61.428963,64.2184,65.023766,65.90975,67.90945,68.26439,70.0,70.0,70.0,65.62133,70.0,70.0,70.0,70.0,69.665054,68.9722,70.0,67.72946,70.0,69.92654,70.0,68.08133,67.611435,69.70373,69.83555,70.0,69.255646,60.023853,66.8167,70.0,70.0,70.0,63.451202,66.85139,62.816967,66.13229,69.549286,56.9599,63.748016,70.0,70.0,70.0,NA
2023-05-07 00:59:48.717016,61.134026,68.89122,68.39278,69.21614,70.0,65.86535,58.544743,64.04738,66.92415,64.22814,65.3398,67.99483,64.29079,66.89327,70.0,70.0,70.0,69.54845,67.72946,70.0,58.936817,69.47053,66.637245,70.0,68.40676,68.27935,67.32131,65.53959,67.72946,68.94386,67.51315,65.551155,63.64627,67.965515,65.75519,69.33078,67.36146,62.529526,61.76188,64.79403,67.33945,70.0,68.0522,68.76557,70.0,68.43911,65.66217,70.0,52.941353,64.81658,70.0,70.0,66.15788,NA
2023-05-07 01:29:51.870882,68.638504,70.0,66.3963,68.22502,70.0,67.108086,63.86538,67.72785,69.65489,66.096695,68.9722,67.98861,63.048042,64.869774,65.49646,67.849976,68.79932,68.865005,66.48672,67.69958,63.24833,70.0,70.0,70.0,68.71473,66.607735,70.0,70.0,69.593575,69.802315,70.0,69.281715,69.54338,69.97889,70.0,69.74924,69.452225,70.0,59.7747,67.49806,69.43491,70.0,68.43151,66.28009,66.01776,63.971428,66.41109,64.86686,49.709694,65.77037,68.4937,70.0,68.9722,NA
2023-05-07 01:59:54.470684,66.77438,70.0,69.74234,69.10569,69.15488,64.001236,65.077576,66.40084,69.532265,64.22814,64.82353,65.82363,64.182205,63.627033,68.026924,66.68706,69.247826,70.0,68.9722,69.23554,60.839035,70.0,67.166145,70.0,69.71688,67.87241,69.30371,70.0,68.9722,69.06706,70.0,67.4176,70.0,68.822945,69.48341,69.509415,70.0,68.35359,57.78601,63.7827,68.9722,70.0,69.674255,70.0,70.0,70.0,69.390396,66.30958,49.709694,69.66069,69.76969,70.0,69.42916,NA
2023-05-07 02:29:57.151875,64.19335,70.0,67.625244,65.38515,70.0,68.9722,62.56155,64.76959,65.48922,62.368473,66.792755,65.99935,61.769108,65.10616,68.52896,68.9722,67.72946,70.0,70.0,70.0,68.276436,70.0,65.864845,70.0,68.87331,68.82924,67.268005,70.0,70.0,70.0,69.377266,68.24532,67.806786,69.47555,70.0,69.56858,67.545456,64.73708,58.53347,62.077145,65.8521,67.72946,69.270836,69.17883,67.344284,68.79451,68.9722,67.30806,52.263927,67.44103,68.048454,70.0,70.0,NA
2023-05-07 02:59:59.699693,57.50135,67.181076,67.502014,69.22382,70.0,67.108086,65.72949,64.85049,63.257236,64.618164,65.34908,67.43304,63.12043,65.18316,69.96514,67.20826,68.334526,68.92138,69.593575,68.229324,61.76157,70.0,63.64788,68.35083,70.0,70.0,70.0,70.0,70.0,67.7592,70.0,70.0,69.86593,70.0,69.30268,70.0,66.35873,65.35846,59.277905,62.52708,68.19218,70.0,70.0,62.968075,39.118763,68.9722,70.0,66.64241,49.709694,67.88998,68.526955,68.557014,70.0,NA
2023-05-07 03:30:02.631577,59.17435,67.72946,69.09804,66.871826,70.0,64.001236,62.19821,65.22696,65.86535,62.754047,61.61157,66.50194,63.048042,64.95216,68.862274,68.9722,67.72946,69.63583,70.0,67.139946,61.893105,70.0,70.0,70.0,70.0,69.665054,68.85393,68.96206,67.72946,68.18486,69.377266,67.93581,69.029175,70.0,70.0,70.0,70.0,69.255646,62.761517,65.48825,68.50949,70.0,69.07699,63.58945,17.198298,67.108086,67.04431,66.39815,52.679054,59.678097,64.001236,68.34943,68.18642,NA
2023-05-07 04:00:05.582141,54.012764,69.08164,69.3432,69.09033,70.0,59.65163,62.727947,63.213898,66.24147,60.654144,59.221905,65.22372,64.182205,61.44954,67.73221,66.16586,66.84877,68.14195,68.35083,68.93925,62.344845,70.0,63.116978,70.0,69.61481,70.0,69.70019,70.0,70.0,70.0,70.0,67.93581,69.96025,70.0,70.0,67.80499,67.16409,68.070145,59.030262,65.5611,68.26488,68.9722,65.86535,70.0,15.895045,68.08484,67.32311,64.20121,50.165543,65.473175,69.76969,70.0,70.0,NA
2023-05-07 04:30:08.334870,62.61591,70.0,68.64054,68.22502,70.0,65.24397,63.152378,64.487816,65.80403,58.790028,59.01168,65.82363,61.18393,64.4794,67.67042,65.54448,68.98851,70.0,70.0,70.0,63.437,70.0,67.39625,67.72946,67.80603,68.9722,69.76515,70.0,70.0,69.76094,68.278725,68.454,67.09059,68.0523,67.94978,68.81452,66.782745,65.47294,56.916996,63.538425,66.328064,67.72946,53.590916,51.71502,63.77661,66.42711,69.65735,67.552315,51.145985,66.42363,68.86258,66.903305,65.14362,NA
2023-05-07 05:00:11.162748,49.473057,70.0,69.38776,69.978676,65.53625,63.379864,62.789036,64.25102,65.68141,48.449173,49.653946,64.83129,63.011852,61.839916,70.0,69.27271,70.0,70.0,66.48672,65.6074,59.068356,70.0,67.375984,70.0,70.0,70.0,65.74706,69.147606,70.0,70.0,70.0,70.0,70.0,67.965515,70.0,69.35619,69.31089,68.46531,60.89438,63.39273,69.05816,70.0,69.07699,68.69571,69.85361,67.84755,68.07204,66.975235,49.088326,65.96593,70.0,66.903305,70.0,NA
2023-05-07 05:30:13.889483,58.266808,67.0166,67.7714,66.4944,70.0,66.48672,64.74478,65.54348,68.66564,58.4,58.714928,59.640373,62.939465,67.591644,66.0727,67.4086,62.82862,70.0,68.35083,67.96291,62.363888,70.0,67.16589,70.0,70.0,69.32959,65.74706,68.40662,69.593575,69.87676,69.73778,65.347145,68.837,68.9722,64.84292,67.92691,67.545456,67.67498,58.036674,64.0141,67.802155,70.0,70.0,70.0,69.10559,67.55176,69.390396,64.06835,48.922794,64.93802,69.2912,70.0,68.3786,NA
2023-05-07 06:00:16.595820,62.56888,67.91988,70.0,64.63028,68.89913,66.48672,61.970726,63.561954,61.393127,56.694565,57.472187,59.615433,63.705605,60.59178,67.97232,68.651344,61.585876,69.09915,67.72946,67.50985,59.878407,69.56281,63.405884,70.0,70.0,70.0,70.0,68.22047,66.48672,67.16044,69.088844,68.76353,69.17402,70.0,70.0,70.0,68.16683,65.86535,57.78752,63.234173,66.41401,67.72946,66.5674,69.73182,69.194534,66.161125,67.805084,66.55383,48.922794,66.54174,68.36746,69.59498,70.0,NA
2023-05-07 06:30:19.279317,61.995033,64.49161,68.53632,63.277084,70.0,60.89438,63.21347,62.404648,63.87861,56.92591,53.84907,52.80157,61.18393,61.685917,67.60293,69.4934,67.09178,69.7545,68.9722,68.80928,62.834682,66.79435,65.80541,70.0,70.0,70.0,69.70019,67.34823,68.9722,68.01563,69.73778,70.0,60.440784,66.188194,65.86535,68.51095,70.0,67.732216,59.279415,65.184,69.75223,70.0,65.88945,70.0,69.37331,67.07828,66.34732,64.73401,48.922794,64.5243,66.64622,67.726654,65.929405,NA
